Tier,Segment,Institution_Name,Chief Information Security Officer,Head of Governance Risk & Compliance,Chief Financial Officer,Chief Risk Officer,Head of Compliance,Chief Information Officer,Head of Internal Audit
4,E-Money,Alipay+ Malaysia (Ant Group),"NOT FOUND [Alipay+ Malaysia is Ant Group's cross-border payment product, not a standalone entity. No Malaysia-specific C-suite executives. Functions handled at Ant Group/Alipay HQ level (China). conf 90]","NOT FOUND [Alipay+ Malaysia is Ant Group's cross-border payment product, not a standalone entity. No Malaysia-specific C-suite executives. Functions handled at Ant Group/Alipay HQ level (China). conf 90]","NOT FOUND [Alipay+ Malaysia is Ant Group's cross-border payment product, not a standalone entity. No Malaysia-specific C-suite executives. Functions handled at Ant Group/Alipay HQ level (China). conf 90]","NOT FOUND [Alipay+ Malaysia is Ant Group's cross-border payment product, not a standalone entity. No Malaysia-specific C-suite executives. Functions handled at Ant Group/Alipay HQ level (China). conf 90]","NOT FOUND [Alipay+ Malaysia is Ant Group's cross-border payment product, not a standalone entity. No Malaysia-specific C-suite executives. Functions handled at Ant Group/Alipay HQ level (China). conf 90]","NOT FOUND [Alipay+ Malaysia is Ant Group's cross-border payment product, not a standalone entity. No Malaysia-specific C-suite executives. Functions handled at Ant Group/Alipay HQ level (China). conf 90]","NOT FOUND [Alipay+ Malaysia is Ant Group's cross-border payment product, not a standalone entity. No Malaysia-specific C-suite executives. Functions handled at Ant Group/Alipay HQ level (China). conf 90]"
1,Licensed Banks,Alliance Bank Malaysia Berhad,William Song (Group CISO) [LinkedIn],Jacob Abraham (Group CRO + Compliance oversight) [Official: alliancebank.com.my],Ronnie Royston Fernandiz (Group Chief Financial Officer) [Official: alliancebank.com.my],Jacob Abraham (Group Chief Risk Officer) [Official: alliancebank.com.my],"Jacob Abraham (Group CRO, also oversees Group Compliance) [Official: alliancebank.com.my]",Nantha Kumar Subramanian (Group Chief Digital & Information Officer) [Official: alliancebank.com.my],Andrew Ng Yin Min (Group Chief Internal Auditor) [Official: alliancebank.com.my]
2,Investment Banks,Alliance Investment Bank Berhad,William Song (Group CISO) [Group-level: Alliance Bank],Jacob Abraham (Group CRO + Compliance oversight) [Group-level: Alliance Bank],Ronnie Royston Fernandiz (Group CFO) [Official: alliancebank.com.my],Jacob Abraham (Group Chief Risk Officer) [Official: alliancebank.com.my],"Jacob Abraham (Group CRO, also responsible for Group Compliance) [Official: alliancebank.com.my]",Nantha Kumar Subramanian (Group Chief Digital & Information Officer) [Official: alliancebank.com.my],Andrew Ng Yin Min (Group Chief Internal Auditor) [Official: alliancebank.com.my]
1,Licensed Banks,Alliance Islamic Bank Berhad,William Song (Group CISO) [Group-level: Alliance Bank],Jacob Abraham (Group CRO + Compliance oversight) [Group-level: Alliance Bank],Ronnie Royston Fernandiz (Group CFO) [Official: alliancebank.com.my],Jacob Abraham (Group Chief Risk Officer) [Official: alliancebank.com.my],"Jacob Abraham (Group CRO, also responsible for Compliance) [Official: alliancebank.com.my]",Nantha Kumar Subramanian (Group Chief Digital & Information Officer) [Official: alliancebank.com.my],Andrew Ng Yin Min (Group Chief Internal Auditor) [Official: alliancebank.com.my]
2,Insurers,Allianz General Insurance Company (Malaysia) Berhad,NOT FOUND [Confirmed Jul 31 2026: Allianz Malaysia IAR 2024 + Board of Directors page. Board member Chiang Bin Fong (Marcus) is former Chief IT Officer (2005-2020) with cybersecurity oversight. No current CISO publicly listed. CISO function likely managed at Allianz Group/regional level. conf 90],NOT FOUND [Confirmed Jul 31 2026: Board of Directors page confirms governance via Board committees. Allianz General RMC: Lim Tuang Ooi (Chair). No dedicated GRC head in management. conf 90],"Chin Xiao Wei (CFO Allianz General) [Official: Allianz Malaysia IAR 2024 p.110 via Wayback Machine, conf 95. Also confirmed by Allianz Malaysia press release Oct 2025: allianz.com.my/personal/media-hub/2025/new-penang-branch.html]","Lim Tuang Ooi (Board Risk Management Committee Chairman, Independent Non-Executive Director; former CRO at EPF 2007-2019) [Official: allianz.com.my/boards-of-directors (Jul 2026 scrape); confidence: HIGH; board-level; executive CRO not separately named. Other Allianz General RMC members: Wee Lay Hua (Ind. Director, appointed 1 Dec 2022) and Chiang Bin Fong (Marcus) (Ind. Director, appointed 1 Jul 2026)]",NOT FOUND [Confirmed Jul 31 2026: Compliance function mentioned in IAR 2024 but no named individual on public website. Board of Directors page does not list compliance head. conf 90],"David Brandl (Chief Information Technology Officer, Group) [Official: Allianz Malaysia IAR 2024 p.111 via Wayback Machine, conf 90 — upgraded from 70. Group CIO covering AMB, Allianz General, Allianz Life]","Narayana Samy Naidu Renugopal (Group Head of Internal Audit Department) [Official: Allianz Malaysia CG Report 2024 via Wayback Machine, conf 88. Group-level IA covering all AMB subsidiaries. Named in CG Report key management personnel.]"
2,Insurers,Allianz Life Insurance Malaysia Berhad,NOT FOUND [Confirmed Jul 31 2026: Board member Chiang Bin Fong was Chief IT Officer at AMB 2005-2020. No current CISO publicly listed. CISO function at Allianz Group level. conf 90],NOT FOUND [Confirmed Jul 31 2026: Board of Directors page shows governance via Board committees. Allianz Life RMC: Lim Fen Nee. No dedicated GRC head in management. conf 90],"Giulio Slavich (CFO of AMB & Allianz Life until 31 Dec 2025; promoted to CEO of Allianz Life effective 1 Jan 2026, succeeding Charles Ong who retired; new CFO TBD) [Official: allianz.com.my press release Dec 2025]",NOT FOUND [Confirmed Jul 31 2026: Allianz Life Board Risk Mgmt Committee: Lim Fen Nee and Foo Chee It. No management-level CRO named for Allianz Life specifically. Risk function shared at group level with Allianz General. conf 85],NOT FOUND [Confirmed Jul 31 2026: Compliance function mentioned in annual report but no named individual on public website. Compliance function shared at group level. conf 90],"David Brandl (Chief Information Technology Officer, Group) [Official: Allianz Malaysia IAR 2024 p.111 via Wayback Machine, conf 90 — upgraded from 70. Group CIO covering Allianz Life]","Narayana Samy Naidu Renugopal (Group Head of Internal Audit Department) [Official: Allianz Malaysia CG Report 2024 via Wayback Machine, conf 88. Group-level IA covering Allianz Life.]"
2,Takaful,Allianz Takaful Berhad,NOT FOUND [Confirmed Jul 31 2026: CISO function shared at group level. Board member Chiang Bin Fong (former Chief IT Officer) provides oversight. No dedicated CISO for Takaful entity. conf 85],NOT FOUND [Confirmed Jul 31 2026: Governance via group-level Board committees. No dedicated GRC head for Takaful entity. conf 85],"Chin Xiao Wei (CFO) [SimplyWallSt lists ""Xiao Chin"" = Chin Xiao Wei. IAR 2024 confirms CFO of Allianz General but Takaful NOT mentioned in IAR. Group CFO may cover Takaful but unconfirmed. Source: SimplyWallSt + IAR 2024 cross-ref, conf 70]",NOT FOUND [Confirmed Jul 31 2026: Risk function shared at group level. Lim Tuang Ooi chairs Risk Mgmt Committee at Allianz General board level. No dedicated CRO for Takaful entity. conf 85],NOT FOUND [Confirmed Jul 31 2026: Compliance function likely shared with Allianz Life/General. No named individual on public website. conf 85],"David Brandl (Chief Information Technology Officer, Group) [Official: Allianz Malaysia IAR 2024 p.111 via Wayback Machine, conf 80 — upgraded from 70. Group CIO likely covers Takaful but IAR 2024 does not mention Takaful]","Narayana Samy Naidu Renugopal (Group Head of Internal Audit Department) [Official: Allianz Malaysia CG Report 2024 via Wayback Machine, conf 78. Group-level IA likely covers Takaful but IAR 2024 does not mention Takaful]"
1,Licensed Banks,AmBank (M) Berhad,Malini Kanesamoorthy (CISO) [CyberSec Malaysia 2023],Shamsul Bahrom (Group CRO) + Faradina Ghouse (Group CCO) [Group-level: AmBank],Phuah Shok Cheng (Group CFO),Shamsul Bahrom Bin Mohamed Ibrahim (Group CRO),Faradina Binti Mohammad Ghouse (Group CCO),Wong Eng Teng (Group Chief Fintech & Technology Officer),Ng Ek Leong (Group Chief Internal Auditor)
4,Card Schemes,AmBank AirAsia Visa Card,"NOT FOUND [AmBank AirAsia Visa Card is a co-branded credit card product, not a standalone entity. Functions handled at AmBank and AirAsia levels. conf 95]",Shamsul Bahrom (Group CRO) + Faradina Ghouse (Group CCO) [Group-level: AmBank],"NOT FOUND [AmBank AirAsia Visa Card is a co-branded credit card product, not a standalone entity. Functions handled at AmBank and AirAsia levels. conf 95]","NOT FOUND [AmBank AirAsia Visa Card is a co-branded credit card product, not a standalone entity. Functions handled at AmBank and AirAsia levels. conf 95]","NOT FOUND [AmBank AirAsia Visa Card is a co-branded credit card product, not a standalone entity. Functions handled at AmBank and AirAsia levels. conf 95]","NOT FOUND [AmBank AirAsia Visa Card is a co-branded credit card product, not a standalone entity. Functions handled at AmBank and AirAsia levels. conf 95]","NOT FOUND [AmBank AirAsia Visa Card is a co-branded credit card product, not a standalone entity. Functions handled at AmBank and AirAsia levels. conf 95]"
1,Licensed Banks,AmBank Islamic Berhad,Malini Kanesamoorthy (CISO) [Group-level: AmBank],Shamsul Bahrom (Group CRO) + Faradina Ghouse (Group CCO) [Group-level: AmBank],Phuah Shok Cheng (Group CFO) [Group-level: AmBank],Shamsul Bahrom Bin Mohamed Ibrahim (Group CRO) [Group-level: AmBank],Faradina Binti Mohammad Ghouse (Group CCO) [Group-level: AmBank],Wong Eng Teng (Group Chief Fintech & Technology Officer) [Group-level: AmBank],Ng Ek Leong (Group Chief Internal Auditor) [Group-level: AmBank]
2,Investment Banks,AmInvestment Bank Berhad,Malini Kanesamoorthy (CISO) [Group-level: AmBank],Shamsul Bahrom Bin Mohamed Ibrahim (CRO) + Faradina Binti Mohammad Ghouse (Compliance) [Group-level composite],"Phuah Shok Cheng (Group CFO, AmBank Group) [Official: ambankgroup.com]",Shamsul Bahrom Bin Mohamed Ibrahim (Group CRO) [Official: ambankgroup.com],Faradina Binti Mohammad Ghouse (Group CCO) [Official: ambankgroup.com],Wong Eng Teng (Group Chief Fintech & Technology Officer) [Official: ambankgroup.com],Ng Ek Leong (Group Chief Internal Auditor) [Official: ambankgroup.com]
2,Insurers,AmMetLife Insurance Berhad,"Not publicly disclosed on AmMetLife management team page [Official: ammetlife.com/about-us/about-ammetlife/management-team — as of Jul 2026, conf 40]","Not publicly disclosed on AmMetLife management team page [Official: ammetlife.com/about-us/about-ammetlife/management-team — as of Jul 2026, conf 40]",Michelle Cheang (Chief Financial Officer) [Official: ammetlife.com],Low Siew Mooi (Chief Risk Officer) [Official: ammetlife.com],"Not publicly disclosed on AmMetLife management team page [Official: ammetlife.com/about-us/about-ammetlife/management-team — as of Jul 2026, conf 40]",Loh Tian Hu (Chief Information Officer) [Official: ammetlife.com],"Not publicly disclosed on AmMetLife management team page [Official: ammetlife.com/about-us/about-ammetlife/management-team — as of Jul 2026, conf 40]"
5,GLC-Linked,Amanah Saham Nasional Berhad (ASNB),"Aishah Farha Mohd Raih (CISO) [Official: ciosea.economictimes.indiatimes.com - Know Your CISO series, conf 90]",Mohd Azmir Mohd Jani (CRO) + Sahlawati Mustafa (Compliance) [Group-level composite],"Mohd Irwan Ahmad Mustafa (Group Chief Strategy and Finance Officer, PNB) [Official: pnb.com.my]","Mohd Azmir Mohd Jani (Group Chief Risk Officer, PNB) [Official: pnb.com.my]",Sahlawati Mustafa (Group Head of Compliance PNB) [Official: pnb.com.my],"Ts Izzat Aziz — Chief Technology Officer, PNB Group [Official: PNB Integrated Report 2024, pnb.com.my/en/leadership-en] | conf 90 | ASNB is ""Managed by PNB""; no separate ASNB CIO/CTO. Ts Izzat Aziz won PIKOM CIO of the Year Award for AI Adoption. Inherited from PNB Group.",Noramly Bachok (Group Head Internal Audit PNB) [Official: pnb.com.my]
4,E-Money,Axiata Digital Services Sdn Bhd (Boost),Shankar Krishnan|Chief Information Security Officer|85|https://my.linkedin.com/in/shankyk|CISO Axiata Digital group/Boost [LinkedIn + theorg.com confirmed. Also CTO at Boost Bank],"Abid Abdul Adam (Group Chief Risk and Compliance Officer, Axiata Group) [Official: axiata.com/about-us/our-people, conf 85 - GRC inherited from Axiata Group parent]","Komathi Balakrishnan (Acting Group CFO, Axiata Group) [Official: axiata.com/about-us/our-people, conf 90 - inherited from Axiata Group parent]","Abid Abdul Adam (Group Chief Risk and Compliance Officer, Axiata Group) [Official: axiata.com/about-us/our-people, conf 90 - inherited from Axiata Group parent]","Abid Abdul Adam (Group Chief Risk and Compliance Officer, Axiata Group) [Official: axiata.com/about-us/our-people, conf 90 - inherited from Axiata Group parent]","Thomas Hundt (Group Chief Business and Technology Officer, Axiata Group) [Official: axiata.com/about-us/our-people, conf 90 - inherited from Axiata Group parent]",Miraz Ahmed|Head of Internal Audit|80|https://my.linkedin.com/in/miraz-ahmed-76b20219|Head of Internal Audit at Boost Holding Sdn Bhd [LinkedIn confirmed. ~20 years telco/tower infrastructure audit experience in Bangladesh & Malaysia]
2,Investment Banks,BIMB Investment Bank Berhad,"Anthony Tai (Group CISO, Bank Islam) [Official: bankislam.com]","Nik Azmir Nik Anis (Group CCO + GRC Officer, Bank Islam) [Official: bankislam.com]","Siti Nur Huda Sufian (Group CFO, Bank Islam) [Official: bankislam.com]",Alina Sylvia Appoo (Group CRO) [Group-level: Bank Islam],"Nik Azmir Nik Anis (Group CCO, Bank Islam) [Official: bankislam.com]",Zulkanain Kassim (CITO) [Group-level: Bank Islam],"Zalfitri Abd Mutalip (Group Chief Internal Auditor, Bank Islam) [Official: bankislam.com]"
1,Licensed Banks,BNP Paribas Malaysia Berhad,"NOT FOUND [Confirmed Aug 2026 via BNP Paribas MY CG Statement FY2025 (23pp) + Audited Financial Statements FY2025 (161pp) + Pillar 3 Disclosures Dec 2025 (48pp) from bnpparibas.com.my + apac.bnpparibas/en/malaysia/. CEO: Anthony Lo Chiang Loong (ED/CEO, appointed 1 Oct 2024). ED: Chan Mui Pin / Mrs. Lau Mui Pin (former COO/Compliance APAC at BNP Paribas Singapore). Board: Dato' Mohamed Khadar bin Merican (Chairman/INED), Faisal bin Ismail (INED), Khoo Lian Kim (INED), Chan Mui Pin (ED), Anthony Lo (ED/CEO). CG statement mentions ""COO"", ""CCO"", ""CRO"", ""Chief Sustainability Officer"" by TITLE ONLY, no names. IT governance: IT Steering Committee + Technology Risk Management Committee + IT/Cyber Security framework exist, but no CISO or CIO named.]","CEO: Anthony Lo Chiang Loong (Executive Director, CEO & Head of Territory, appointed 1 Oct 2024) [Official: BNP Paribas CG Statement FY2024, conf 95]; Chairman: Dato' Mohamed Khadar bin Merican (Ind. Non-Exec Director, Chairman, appointed 1 Mar 2021) [conf 95]","Kevin Wong (CFO) [LinkedIn/ZoomInfo, conf 65]","Khoo Lian Kim (BRMC Chairman, former CRO RHB Banking Group) [CG Statement FY2024, conf 85]","Chan Mui Pin / Mrs. Lau Mui Pin (Exec Director, former Head of Compliance BNP Paribas Singapore & SEA) [CG Statement FY2024, conf 80]","NOT FOUND [Confirmed Aug 2026 via BNP Paribas MY CG Statement FY2025 (23pp) + Audited Financial Statements FY2025 (161pp) + Pillar 3 Disclosures Dec 2025 (48pp) from bnpparibas.com.my + apac.bnpparibas/en/malaysia/. CEO: Anthony Lo Chiang Loong (ED/CEO, appointed 1 Oct 2024). ED: Chan Mui Pin / Mrs. Lau Mui Pin (former COO/Compliance APAC at BNP Paribas Singapore). Board: Dato' Mohamed Khadar bin Merican (Chairman/INED), Faisal bin Ismail (INED), Khoo Lian Kim (INED), Chan Mui Pin (ED), Anthony Lo (ED/CEO). CG statement mentions ""COO"", ""CCO"", ""CRO"", ""Chief Sustainability Officer"" by TITLE ONLY, no names. IT governance: IT Steering Committee + Technology Risk Management Committee + IT/Cyber Security framework exist, but no CISO or CIO named.]","Faisal bin Ismail (Audit Committee Chairman, Ind. Non-Exec Director) [CG Statement FY2024, conf 85]"
1,Licensed Banks,Bank Islam Malaysia Berhad,Anthony Tai (Group Chief Information Security Officer) [Official: bankislam.com],Nik Azmir Nik Anis (Group Chief Compliance Officer and Group Chief Integrity and Governance Officer) [Official: bankislam.com],Siti Nur Huda Sufian (Group Chief Financial Officer) [Official: bankislam.com],Alina Sylvia Appoo (Group CRO) [Bloomberg],Nik Azmir Nik Anis (Group Chief Compliance Officer) [Official: bankislam.com],Zulkanain Kassim (CITO) [LinkedIn],Zalfitri Abd Mutalip (Group Chief Internal Auditor) [Official: bankislam.com]
2,Investment Banks,Bank Rakyat Investment Bank Berhad,"Syed Azlan (Chief Information Security Officer) [ZoomInfo professional database, conf 60 - group-level CISO at Bank Rakyat Malaysia covers subsidiary BRIB. Cross-ref: LinkedIn employee reports to CISO at Bank Kerjasama Rakyat Malaysia Berhad. Not on public Management Committee page (bankrakyat.com.my/portal-main/leaders/management-committee) which lists 8 SMT members excluding CISO. Verified Jul 2026.]","Fuhaizad Asmar Omar (Senior Manager Audit, Compliance & Governance) [Official: rmanagement.com.my/en/leadership - combined GRC+Audit+Compliance role at subsidiary level. Conf 80]",Nor Haimee Zakaria (Chief Finance Officer) [Group-level: Bank Rakyat],Azni Azaddin (Group Chief Risk Officer) [Group-level: Bank Rakyat],Jufree Soaidin (Group Chief Compliance Officer) [Group-level: Bank Rakyat],"Ismat Nazarul Mat Isa (Senior Manager Finance & IT) [Official: rmanagement.com.my/en/leadership, conf 82 - note: subsidiary-level, combined Finance & IT role]","Fuhaizad Asmar Omar (Senior Manager Audit, Compliance & Governance) [Official: rmanagement.com.my/en/leadership, conf 85 - note: subsidiary-level, combined Audit+Compliance+Governance role]"
